CLIENT_CODE,FILE_NBR,SUBMISSION_NUMBER,LINE_NUMBER,INPATIENT_REVENUE,OUTPATIENT_REVENUE,TOTAL_REVENUE,INPATIENT_DEDUCTION,OUTPATIENT_DEDUCTION,TOTAL_DEDUCTION,NET_INPATIENT_REVENUE,NET_OUTPATIENT_REVENUE,NET_PATIENT_REVENUE
23,100001,1.00001070120181e+35,2,243179594,252131024,495310618,,,,243179594,252131024,495310618
23,100001,1.00001070120181e+35,3,,,,,,,,,
23,100001,1.00001070120181e+35,4,,,,208963698,225844187,434807885,-208963698,-225844187,-434807885
23,100001,1.00001070120181e+35,5,396688437,410603579,807292016,295951478,354216387,650167865,100736959,56387192,157124151
23,100001,1.00001070120181e+35,6,129237356,72952377,202189733,110950680,66663307,177613987,18286676,6289070,24575746
23,100001,1.00001070120181e+35,7,58751089,84358231,143109320,47535137,73290300,120825437,11215952,11067931,22283883
23,100001,1.00001070120181e+35,8,,,,,,,,,
23,100001,1.00001070120181e+35,9,7255360,5746946,13002306,,,,7255360,5746946,13002306
23,100001,1.00001070120181e+35,10,275912882,225534567,501447449,215103374,203055360,418158734,60809508,22479207,83288715
23,100001,1.00001070120181e+35,11,291685245,305737169,597422414,235999752,280933589,516933341,55685493,24803580,80489073
23,100001,1.00001070120181e+35,12,56902858,105424144,162327002,37567967,74535230,112103197,19334891,30888914,50223805
23,100001,1.00001070120181e+35,13,189970717,342796822,532767539,125410378,242381280,367791658,64560339,100415542,164975881
23,100001,1.00001070120181e+35,14,91103835,62574852,153678687,66451169,37916419,104367588,24652666,24658433,49311099
23,100001,1.00001070120181e+35,15,,,,,,,,,
23,100001,1.00001070120181e+35,16,,,,9244350,21104295,30348645,-9244350,-21104295,-30348645
23,100001,1.00001070120181e+35,17,,,,,,,,,
23,100001,1.00001070120181e+35,18,,,,,,,,,
23,100001,1.00001070120181e+35,19,1740687373,1867859711,3608547084,1384754797,1612679509,2997434306,355932576,255180202,611112778
23,100001,1.00001070120181e+35,20,2167937,57432854,59600791,2167937,-30930289,-28762352,0,88363143,88363143
23,100001,1.00001070120181e+35,21,1738519436,1810426857,3548946293,1382586860,1643609798,3026196658,355932576,166817059,522749635
23,100001,1.00001070120181e+35,22,,,1793964404,,,1414986930,,,378977474
23,100002,1.00002100120181e+35,1,,,,14555343,14580911,29136254,-14555343,-14580911,-29136254
23,100002,1.00002100120181e+35,2,59005693,54376281,113381974,,,,59005693,54376281,113381974
23,100002,1.00002100120181e+35,3,,,,,,,,,
23,100002,1.00002100120181e+35,4,,,,36327494,16273886,52601380,-36327494,-16273886,-52601380
23,100002,1.00002100120181e+35,5,529159319,260242421,789401740,443522329,225525124,669047453,85636990,34717297,120354287
23,100002,1.00002100120181e+35,6,84823849,28234443,113058292,77580551,27648972,105229523,7243298,585471,7828769
23,100002,1.00002100120181e+35,7,12279305,13899198,26178503,2826764,3709727,6536491,9452541,10189471,19642012
23,100002,1.00002100120181e+35,8,,,,,,,,,
23,100002,1.00002100120181e+35,9,,,,,,,,,
23,100002,1.00002100120181e+35,10,293490891,132004206,425495097,246334621,114392695,360727316,47156270,17611511,64767781
23,100002,1.00002100120181e+35,11,123300015,93863137,217163152,110105692,83502682,193608374,13194323,10360455,23554778
23,100002,1.00002100120181e+35,12,177062247,169481167,346543414,129165557,128362890,257528447,47896690,41118277,89014967
23,100002,1.00002100120181e+35,13,70496893,64360781,134857674,50615971,46102615,96718586,19880922,18258166,38139088
